Eta;Docenti a contratto M;Docenti a contratto F; di cui con cittadinanza NON italiana M; di cui con cittadinanza NON italiana F; di cui appartenenti al ruolo dei docenti di altre universita M; di cui appartenenti al ruolo dei docenti di altre universita F;Totali
< 25           ;0;0;0;0;0;0;0
25 - 29        ;1;2;0;0;0;0;3
30 - 34        ;15;7;0;0;0;0;22
35 - 39        ;13;12;0;0;0;0;25
40 - 44        ;31;15;0;0;0;0;46
45 - 49        ;28;19;0;0;0;0;47
50 - 54        ;28;16;0;0;0;0;44
55 - 59        ;19;8;0;0;0;0;27
60 - 64        ;24;8;0;0;0;0;32
>= 65          ;20;8;0;0;0;0;28
Eta sconosciuta;0;0;0;0;0;0;0
Totale;179;95;0;0;0;0;274
